Receiver time, Accel X,Y,Z, Gyro X,Y,Z, Quaternion W,X,Y,Z, dt(or)index
1417135686548,-12,39,-2195,-1,-1,1,1625635,710314382,805169759,-8602203,22045
1417135686562,-7,32,-2182,-1,-3,0,1627008,710314508,805169614,-8605269,22046
1417135686562,-8,23,-2180,-1,-4,1,1631592,710316761,805167566,-8610006,22047
1417135686565,-3,20,-2183,-1,-2,0,1632509,710316924,805167419,-8610046,22048
1417135686565,-4,23,-2169,-1,-2,1,1634410,710319217,805165348,-8614243,22049
1417135686567,-8,20,-2183,-1,-3,1,1637868,710321502,805163300,-8616518,22050
1417135686567,-8,30,-2190,-1,-2,0,1639027,710321669,805163154,-8616270,22051
1417135686570,-1,20,-2187,-2,-2,0,1641253,710321821,805163030,-8614795,22052
1417135686570,-8,21,-2198,-1,-2,1,1643082,710324132,805160984,-8615111,22053
1417135686572,-8,31,-2191,0,-2,0,1642511,710324284,805160788,-8621107,22054
1417135686572,-7,26,-2192,-1,-3,1,1644928,710326561,805158745,-8623752,22055
1417135686587,-6,36,-2183,-2,-1,1,1645450,710328885,805156734,-8620083,22056
1417135686587,-7,22,-2186,-2,-2,1,1647392,710331175,805154717,-8619337,22057
1417135686590,-9,25,-2171,-1,-2,1,1648496,710333485,805152678,-8619345,22058
1417135686590,-3,28,-2174,-2,-3,2,1653231,710337908,805148766,-8619241,22059
1417135686593,1,25,-2195,-1,-3,1,1656361,710340188,805146719,-8622051,22060
1417135686593,-6,23,-2179,-2,-2,1,1659846,710342489,805144694,-8620832,22061
1417135686595,-2,19,-2176,-2,-2,1,1662849,710344792,805142676,-8618885,22062
1417135686595,-9,29,-2191,-2,-2,0,1666529,710344955,805142547,-8616906,22063
1417135686611,-11,29,-2186,-1,-4,0,1671126,710345067,805142393,-8621181,22064
1417135686611,0,26,-2187,-1,-3,1,1673668,710347328,805140325,-8627440,22065
1417135686613,-10,28,-2186,-3,-3,0,1680985,710347456,805140212,-8625997,22066
1417135686613,-9,29,-2184,-3,-3,1,1687228,710349728,805138218,-8623917,22067
1417135686622,-11,28,-2191,-3,-3,0,1693457,710349853,805138114,-8622022,22068
1417135686623,-8,35,-2191,-2,-2,0,1695540,710350008,805137994,-8620110,22069
1417135686636,-2,28,-2183,-1,-2,-1,1695413,710348016,805139740,-8621244,22070
1417135686636,-8,31,-2183,-1,-1,1,1694322,710350341,805137700,-8620334,22071
1417135686642,-11,33,-2185,-1,-1,0,1692405,710350520,805137559,-8619216,22072
1417135686642,-3,31,-2163,-1,-2,1,1692212,710352818,805135524,-8619921,22073
1417135686661,-13,24,-2190,-1,-2,1,1692937,710355117,805133480,-8621140,22074
1417135686661,-6,29,-2194,-1,-1,1,1691150,710357448,805131452,-8618942,22075
1417135686663,-8,32,-2195,-2,-2,1,1693639,710359745,805129434,-8617524,22076
1417135686663,-6,27,-2200,-2,-3,2,1697861,710364162,805125523,-8618106,22077
1417135686687,-9,30,-2186,-1,-3,1,1700761,710366443,805123478,-8620526,22078
1417135686688,-12,30,-2181,-2,-2,0,1702865,710366595,805123355,-8618975,22079
1417135686690,-9,31,-2190,-2,-1,0,1702546,710366771,805123241,-8615296,22080
1417135686690,-8,25,-2187,-2,-2,-1,1704542,710364778,805125010,-8613837,22081
1417135686692,-11,34,-2169,-2,-1,1,1705025,710367103,805122999,-8610007,22082
1417135686692,-2,29,-2184,-3,-1,1,1706390,710369414,805121015,-8604662,22083
1417135686711,-6,27,-2187,-1,-2,1,1707356,710371715,805118970,-8605743,22084
1417135686712,-7,34,-2182,-1,-2,1,1708113,710374020,805116930,-8606303,22085
1417135686713,-3,20,-2173,-1,-2,1,1708455,710376298,805114863,-8611477,22086
1417135686713,-11,37,-2186,-2,-2,1,1711961,710378605,805112842,-8609514,22087
1417135686748,-14,28,-2187,-2,-3,0,1715442,710378727,805112717,-8610347,22088
1417135686748,-16,37,-2186,-1,-3,0,1717490,710378863,805112572,-8612238,22089
1417135686750,-15,33,-2194,-1,-2,0,1716468,710379014,805112435,-8612911,22090
1417135686750,-10,32,-2177,-2,-2,2,1717802,710383452,805108534,-8611125,22091
1417135686753,-7,31,-2184,-1,-2,1,1717774,710385752,805106498,-8611840,22092
1417135686753,-1,29,-2182,-1,-3,0,1720478,710385866,805106318,-8618626,22093
1417135686755,-4,31,-2199,-2,-3,1,1725566,710388141,805104291,-8619534,22094
1417135686755,-15,35,-2187,-2,-4,0,1732322,710388246,805104155,-8622244,22095
1417135686761,-11,25,-2196,-2,-4,1,1737751,710390491,805102138,-8624441,22096
1417135686762,0,24,-2181,-1,-3,1,1740331,710392775,805100099,-8626270,22097
1417135686780,-6,24,-2177,-2,-2,0,1743746,710392932,805099967,-8624906,22098
1417135686780,-13,21,-2183,-1,-2,-1,1744688,710390951,805101710,-8625207,22099
1417135686782,-8,32,-2188,-1,-3,1,1747664,710393220,805099643,-8630561,22100
1417135686782,-7,29,-2190,-1,-2,-1,1748010,710391213,805101362,-8635453,22101
