Receiver time, Accel X,Y,Z, Gyro X,Y,Z, Quaternion W,X,Y,Z, dt(or)index
1417308593746,-44,19,-2184,-2,-2,-2,2324955,-1073294700,-29288170,-9838344,21645
1417308593791,-35,26,-2173,0,0,0,2326126,-1073294713,-29286226,-9842420,21646
1417308593791,-32,18,-2189,-2,-2,-2,2325073,-1073294637,-29289975,-9839753,21647
1417308593791,-38,15,-2179,-2,-2,-2,2323010,-1073294567,-29293732,-9836707,21648
1417308593791,-35,20,-2188,-2,-1,-3,2320653,-1073294386,-29300346,-9837303,21649
1417308593794,-39,15,-2181,-1,0,0,2319059,-1073294416,-29298373,-9840330,21650
1417308593794,-40,18,-2179,-1,0,-1,2316838,-1073294364,-29299264,-9843890,21651
1417308593797,-35,21,-2183,-1,-2,0,2317722,-1073294434,-29297333,-9841766,21652
1417308593797,-32,15,-2194,-2,-1,0,2316178,-1073294489,-29295365,-9841940,21653
1417308593800,-34,20,-2184,-3,-1,1,2311044,-1073294634,-29290518,-9841809,21654
1417308593800,-32,21,-2192,-2,-1,1,2309402,-1073294769,-29285692,-9841853,21655
1417308593802,-34,15,-2189,-1,-3,0,2310550,-1073294874,-29283762,-9835840,21656
1417308593802,-39,20,-2183,-1,-2,-1,2311014,-1073294874,-29284691,-9832970,21657
1417308593846,-41,14,-2179,0,0,0,2312300,-1073294893,-29282745,-9836428,21658
1417308593846,-38,15,-2186,-1,-2,0,2312694,-1073294963,-29280818,-9834445,21659
1417308593848,-40,8,-2180,-2,-4,0,2310183,-1073295094,-29278876,-9826432,21660
1417308593848,-36,28,-2180,-2,0,-2,2304218,-1073294971,-29282608,-9830233,21661
1417308593851,-42,21,-2181,-1,1,0,2303709,-1073294971,-29280620,-9836236,21662
1417308593851,-50,24,-2196,-2,-2,1,2302145,-1073295122,-29275801,-9834421,21663
1417308593869,-37,18,-2180,-2,-2,0,2300947,-1073295186,-29273839,-9833560,21664
1417308593869,-44,23,-2186,-1,-2,0,2301828,-1073295260,-29271907,-9831066,21665
1417308593871,-41,26,-2178,-1,-2,1,2303376,-1073295403,-29267112,-9829405,21666
1417308593871,-36,12,-2183,-1,-1,-1,2305315,-1073295366,-29268023,-9830251,21667
1417308593873,-28,20,-2169,-1,-2,-1,2305419,-1073295364,-29268956,-9827655,21668
1417308593873,-43,25,-2180,-1,-2,-2,2306469,-1073295291,-29272736,-9824079,21669
1417308593876,-44,23,-2190,0,0,-1,2311146,-1073295246,-29273675,-9825097,21670
1417308593876,-34,15,-2204,-1,-3,-2,2312531,-1073295181,-29277462,-9820589,21671
1417308593891,-40,17,-2179,-2,-2,-1,2310128,-1073295188,-29278365,-9817770,21672
1417308593891,-37,12,-2188,0,1,-1,2311100,-1073295102,-29279274,-9824243,21673
1417308593893,-40,23,-2185,-1,-1,-1,2311280,-1073295072,-29280201,-9824621,21674
1417308593893,-35,18,-2185,-1,-2,-1,2312758,-1073295064,-29281122,-9822482,21675
1417308593900,-30,25,-2172,-1,-1,-1,2313676,-1073295036,-29282041,-9822599,21676
1417308593900,-35,21,-2183,1,1,0,2321272,-1073295051,-29280140,-9824799,21677
1417308593918,-40,19,-2191,1,1,-1,2328353,-1073294984,-29281102,-9827612,21678
1417308593918,-37,22,-2192,-1,-1,0,2329427,-1073295028,-29279163,-9828323,21679
1417308593921,-39,20,-2182,-1,-2,-1,2330758,-1073295023,-29280084,-9825797,21680
1417308593921,-33,16,-2171,-1,-2,-1,2331852,-1073295016,-29281008,-9823550,21681
1417308593940,-35,17,-2185,-1,-2,-1,2332436,-1073295016,-29281935,-9820599,21682
1417308593940,-38,5,-2188,-1,-1,-1,2333220,-1073294988,-29282856,-9820720,21683
1417308593943,-29,27,-2188,-1,-1,-1,2335304,-1073294979,-29283823,-9818311,21684
1417308593944,-42,20,-2187,0,0,0,2337409,-1073295008,-29281867,-9820502,21685
1417308593952,-33,12,-2195,-2,-2,-1,2335648,-1073295004,-29282766,-9818696,21686
1417308593952,-32,12,-2188,-1,-2,0,2338527,-1073295104,-29280873,-9812764,21687
1417308593965,-32,18,-2190,-1,-1,-1,2338677,-1073295080,-29281799,-9812528,21688
1417308593965,-39,18,-2172,0,1,-1,2339725,-1073295003,-29282705,-9817984,21689
1417308593969,-48,20,-2195,-2,-1,0,2337817,-1073295054,-29280741,-9818700,21690
1417308593969,-38,14,-2190,-1,-2,1,2338983,-1073295193,-29275950,-9817531,21691
1417308594002,-30,21,-2182,-3,-2,-1,2333605,-1073295201,-29276829,-9815322,21692
1417308594002,-37,20,-2174,0,0,0,2334973,-1073295230,-29274880,-9817672,21693
1417308594005,-34,18,-2188,-1,-2,-1,2336063,-1073295225,-29275804,-9815200,21694
1417308594005,-34,24,-2196,-1,-1,1,2337017,-1073295354,-29271007,-9815178,21695
1417308594007,-41,22,-2191,-1,1,0,2335981,-1073295358,-29269023,-9820918,21696
1417308594007,-44,17,-2181,0,0,-1,2337479,-1073295296,-29269933,-9824612,21697
1417308594009,-42,24,-2182,-1,-2,-1,2338215,-1073295284,-29270862,-9822999,21698
1417308594009,-38,14,-2194,-1,-1,0,2339915,-1073295324,-29268918,-9823964,21699
1417308594030,-41,15,-2180,-1,-2,0,2340277,-1073295398,-29266991,-9821581,21700
1417308594030,-37,16,-2190,0,0,0,2343716,-1073295435,-29265083,-9822380,21701
1417308594032,-37,10,-2185,-1,0,-1,2341594,-1073295385,-29265973,-9825678,21702
1417308594032,-41,11,-2185,-1,-1,-2,2341486,-1073295278,-29269761,-9826075,21703
1417308594040,-42,22,-2191,0,1,-1,2344478,-1073295212,-29270710,-9829738,21704
1417308594041,-38,19,-2200,0,0,0,2346001,-1073295227,-29268762,-9833544,21705
1417308594057,-39,14,-2191,-1,-1,0,2349834,-1073295294,-29266855,-9831048,21706
1417308594057,-32,26,-2189,-1,-1,0,2350274,-1073295340,-29264922,-9831650,21707
1417308594059,-34,18,-2195,-2,-1,-1,2349294,-1073295320,-29265805,-9831433,21708
1417308594060,-32,15,-2185,-1,-2,0,2350134,-1073295398,-29263873,-9828535,21709
1417308594080,-40,9,-2187,-1,-1,-1,2350651,-1073295374,-29264795,-9828288,21710
1417308594080,-30,27,-2196,-1,-1,-1,2350450,-1073295342,-29265726,-9829048,21711
1417308594082,-43,34,-2178,0,1,-1,2355378,-1073295285,-29266654,-9831268,21712
1417308594082,-45,15,-2181,-1,-2,1,2358263,-1073295426,-29261846,-9829464,21713
1417308594090,-41,17,-2192,-1,-2,-1,2358744,-1073295414,-29262777,-9827979,21714
1417308594090,-34,22,-2194,-2,-2,-1,2356595,-1073295411,-29263679,-9826045,21715
1417308594108,-32,14,-2188,-1,0,-1,2355198,-1073295364,-29264561,-9828939,21716
1417308594108,-37,22,-2184,-1,-2,1,2355561,-1073295522,-29259774,-9825817,21717
1417308594110,-32,23,-2195,-1,-1,0,2356987,-1073295569,-29257831,-9826163,21718
1417308594110,-32,19,-2189,-1,-1,-1,2361267,-1073295563,-29258776,-9822931,21719
1417308594130,-39,15,-2179,0,2,0,2365312,-1073295558,-29256849,-9828296,21720
1417308594130,-40,12,-2184,0,0,1,2368759,-1073295675,-29252082,-9828839,21721
1417308594132,-34,15,-2202,-1,-2,0,2368871,-1073295747,-29250158,-9826731,21722
1417308594132,-40,18,-2183,0,1,0,2372338,-1073295766,-29248243,-9829468,21723
1417308594140,-34,24,-2182,-2,-1,0,2370412,-1073295817,-29246280,-9830277,21724
1417308594140,-42,17,-2194,-1,-1,0,2372069,-1073295866,-29244335,-9830247,21725
1417308594158,-33,17,-2186,-2,-3,-1,2369837,-1073295889,-29245244,-9825572,21726
1417308594158,-33,21,-2194,-1,-1,-1,2370595,-1073295864,-29246164,-9825440,21727
1417308594160,-41,22,-2180,0,0,-1,2371922,-1073295811,-29247073,-9828136,21728
1417308594160,-39,28,-2194,-1,-2,-1,2373251,-1073295801,-29247995,-9826134,21729
1417308594177,-33,22,-2190,-1,-4,-1,2375153,-1073295845,-29248923,-9818116,21730
1417308594177,-32,26,-2183,0,0,-2,2379358,-1073295735,-29252722,-9817891,21731
1417308594180,-43,12,-2189,-1,-1,0,2381251,-1073295786,-29250774,-9817609,21732
1417308594180,-38,24,-2179,-1,-2,-1,2381338,-1073295776,-29251708,-9815874,21733
1417308594216,-32,18,-2186,-2,-4,0,2379913,-1073295906,-29249756,-9807856,21734
1417308594216,-39,11,-2188,0,1,-1,2383723,-1073295849,-29250695,-9810387,21735
1417308594217,-42,13,-2174,0,0,-1,2383828,-1073295791,-29251617,-9813882,21736
1417308594218,-36,9,-2192,-1,-2,-1,2384042,-1073295782,-29252550,-9812055,21737
1417308594221,-26,21,-2198,-2,-1,1,2381001,-1073295917,-29247737,-9812381,21738
1417308594221,-36,23,-2177,-1,-2,0,2382168,-1073296003,-29245800,-9808484,21739
1417308594223,-39,23,-2201,0,1,0,2386641,-1073296018,-29243876,-9811508,21740
1417308594224,-42,18,-2192,-1,-1,0,2388172,-1073296062,-29241933,-9812067,21741
1417308594241,-34,20,-2178,-2,-3,-1,2386057,-1073296085,-29242841,-9807403,21742
