Receiver time, Accel X,Y,Z, Gyro X,Y,Z, Quaternion W,X,Y,Z, dt(or)index
1417308593729,-55,28,-2171,-1,-1,0,5544730,798368319,-717922418,9283883,22255
1417308593732,-54,30,-2157,0,-2,0,5538345,798367048,-717923871,9284597,22256
1417308593733,-53,30,-2149,-1,-1,-2,5535802,798369560,-717921084,9285598,22257
1417308593753,-55,30,-2159,0,0,0,5535050,798368224,-717922536,9288680,22258
1417308593753,-59,19,-2149,-1,-1,1,5532515,798365000,-717926126,9289812,22259
1417308593758,-51,34,-2153,0,0,1,5533252,798361759,-717929689,9292547,22260
1417308593758,-50,30,-2160,-1,-2,-1,5532200,798362343,-717929059,9291712,22261
1417308593758,-58,25,-2165,-1,-1,-2,5529325,798364858,-717926276,9292335,22262
1417308593758,-52,17,-2139,-1,-2,0,5529646,798363534,-717927758,9291388,22263
1417308593779,-50,28,-2155,0,0,-1,5530050,798364124,-717927074,9293303,22264
1417308593780,-46,31,-2154,0,1,0,5531140,798362768,-717928512,9298052,22265
1417308593780,-55,32,-2150,0,-1,-1,5525697,798363388,-717927835,9300326,22266
1417308593780,-50,23,-2146,1,0,-1,5522829,798363976,-717927135,9305646,22267
1417308593783,-51,15,-2137,0,0,0,5522484,798362649,-717928584,9307867,22268
1417308593783,-58,27,-2155,0,1,0,5524883,798361305,-717930011,9311662,22269
1417308593806,-60,26,-2163,-1,-1,-2,5526995,798363778,-717927228,9312989,22270
1417308593807,-46,29,-2164,-1,-1,-1,5525292,798364378,-717926558,9314200,22271
1417308593855,-53,24,-2154,0,1,-1,5525974,798364936,-717925875,9318619,22272
1417308593855,-53,23,-2145,0,0,-1,5529836,798365479,-717925206,9321376,22273
1417308593858,-50,16,-2146,-1,-1,0,5531863,798364135,-717926677,9321957,22274
1417308593858,-54,29,-2162,0,0,0,5532158,798362815,-717928121,9323590,22275
1417308593860,-49,25,-2160,-1,-2,0,5531780,798361490,-717929611,9322597,22276
1417308593860,-57,25,-2155,0,0,0,5531145,798360162,-717931063,9324853,22277
1417308593863,-56,28,-2165,0,0,0,5531180,798358828,-717932507,9327856,22278
1417308593863,-54,27,-2142,-1,-1,-1,5528956,798359429,-717931843,9328853,22279
1417308593865,-57,20,-2142,-1,-1,-1,5526689,798360032,-717931179,9329632,22280
1417308593865,-55,19,-2158,-1,-1,0,5529330,798358688,-717932644,9330335,22281
1417308593880,-59,21,-2155,0,0,1,5529725,798355450,-717936212,9332662,22282
1417308593880,-57,32,-2148,-1,-2,-2,5530559,798357953,-717933438,9331448,22283
1417308593883,-49,23,-2148,-1,-1,-3,5528121,798362373,-717928523,9332874,22284
1417308593883,-59,18,-2148,-1,-2,-2,5527951,798364881,-717925761,9330918,22285
1417308593885,-53,28,-2155,-1,-1,-1,5526921,798365490,-717925086,9331397,22286
1417308593885,-47,29,-2161,-1,-1,-1,5528501,798366054,-717924434,9332351,22287
1417308593887,-61,24,-2156,0,1,0,5529244,798364699,-717925876,9336874,22288
1417308593887,-53,33,-2163,1,0,-2,5527626,798367202,-717923038,9342039,22289
1417308593903,-48,32,-2152,-1,-2,0,5526796,798365873,-717924532,9341273,22290
1417308593903,-53,30,-2149,-1,-1,-2,5523584,798368388,-717921752,9341870,22291
1417308593906,-44,29,-2146,1,0,-1,5520736,798368979,-717921052,9346821,22292
1417308593906,-54,25,-2156,-1,-1,-1,5521492,798369548,-717920411,9347040,22293
1417308593915,-56,18,-2145,0,0,0,5521282,798368217,-717921858,9349754,22294
1417308593915,-45,20,-2150,-1,-2,0,5522112,798366901,-717923337,9348057,22295
1417308593929,-43,22,-2157,0,0,-1,5521649,798367493,-717922662,9349525,22296
1417308593929,-48,26,-2158,1,1,-1,5520613,798368075,-717921952,9354997,22297
1417308593932,-54,24,-2156,0,-1,-1,5515798,798368699,-717921269,9357004,22298
1417308593932,-54,32,-2141,-1,-1,-2,5513821,798371217,-717918478,9357475,22299
1417308593956,-55,29,-2155,-1,-2,-1,5509189,798371840,-717917833,9356529,22300
1417308593956,-58,20,-2159,0,1,-1,5510637,798372391,-717917141,9361777,22301
1417308593958,-62,17,-2149,-1,-2,0,5511436,798371072,-717918620,9360394,22302
1417308593958,-47,20,-2158,0,0,0,5512640,798369742,-717920053,9363189,22303
1417308593962,-52,27,-2146,0,0,0,5512313,798368421,-717921503,9364831,22304
1417308593962,-53,23,-2152,0,0,-1,5515833,798368962,-717920837,9367740,22305
1417308593979,-53,23,-2152,0,0,0,5515732,798367633,-717922283,9370195,22306
1417308593979,-47,22,-2161,0,-1,-1,5511618,798368256,-717921592,9372420,22307
1417308593982,-51,20,-2142,0,0,1,5511077,798365021,-717925170,9374231,22308
1417308593982,-59,22,-2153,0,-1,-1,5507089,798365649,-717924479,9376042,22309
1417308594018,-57,25,-2152,0,0,0,5507581,798364317,-717925918,9378960,22310
1417308594018,-54,24,-2153,1,0,-1,5505530,798364910,-717925211,9383841,22311
1417308594019,-54,25,-2154,-1,-1,-1,5507574,798365477,-717924556,9384534,22312
1417308594019,-66,31,-2162,-1,-1,0,5505461,798364171,-717926017,9385108,22313
1417308594022,-51,25,-2159,-1,-1,-1,5503806,798364762,-717925344,9387253,22314
1417308594022,-62,20,-2148,-1,-1,-1,5501465,798365370,-717924682,9387524,22315
1417308594024,-50,19,-2151,1,1,-2,5502235,798367851,-717921825,9394568,22316
1417308594024,-58,17,-2166,0,0,-1,5502288,798368441,-717921145,9396388,22317
1417308594044,-53,24,-2150,-1,-2,-1,5499345,798369077,-717920485,9394495,22318
1417308594044,-52,28,-2144,0,0,-2,5499213,798371571,-717917680,9396994,22319
1417308594047,-58,29,-2161,0,0,0,5498586,798370238,-717919131,9399773,22320
1417308594047,-61,24,-2164,0,0,0,5498344,798368900,-717920577,9403151,22321
1417308594053,-49,22,-2156,-1,-1,0,5500933,798367550,-717922041,9404471,22322
1417308594053,-53,30,-2147,-1,-1,0,5502720,798366210,-717923516,9404534,22323
1417308594066,-48,23,-2153,-1,-1,0,5504112,798364860,-717924992,9405650,22324
1417308594067,-46,21,-2159,0,0,0,5503602,798363535,-717926444,9407622,22325
1417308594071,-46,27,-2159,-1,-1,-1,5505253,798364111,-717925795,9407303,22326
1417308594071,-55,27,-2149,-1,-2,0,5504413,798362794,-717927291,9405372,22327
1417308594093,-61,22,-2158,0,1,-1,5506056,798363347,-717926597,9410442,22328
1417308594093,-61,24,-2165,-1,-2,-2,5502934,798365888,-717923811,9409235,22329
1417308594096,-52,23,-2160,0,0,-2,5503445,798368377,-717920998,9412431,22330
1417308594096,-52,29,-2158,-1,-1,-1,5501371,798368987,-717920333,9412613,22331
1417308594103,-64,23,-2158,0,0,-2,5504721,798371437,-717917543,9415623,22332
1417308594103,-52,26,-2163,-1,-1,0,5503619,798370125,-717918993,9416929,22333
1417308594117,-49,25,-2154,0,0,0,5503151,798368794,-717920443,9419492,22334
1417308594117,-53,24,-2148,0,-1,-1,5498525,798369419,-717919758,9421485,22335
1417308594121,-59,26,-2152,0,0,-2,5498396,798371913,-717916952,9423975,22336
1417308594121,-53,20,-2163,0,0,0,5498524,798370577,-717918395,9427203,22337
1417308594143,-39,24,-2158,0,0,0,5498694,798369252,-717919839,9429355,22338
1417308594143,-62,30,-2153,-1,-1,0,5499467,798367918,-717921325,9428646,22339
1417308594146,-59,22,-2149,-1,-1,-1,5497587,798368513,-717920656,9430337,22340
