Receiver time, Accel X,Y,Z, Gyro X,Y,Z, Quaternion W,X,Y,Z, dt(or)index
1417476539450,-19,37,-2149,-1,-1,-2,8436203,266494737,-1040000414,15166818,11655
1417476539453,-20,53,-2152,-1,-3,-2,8429359,266498186,-1039999665,15161355,11656
1417476539453,-24,47,-2155,-1,-2,-1,8424869,266498799,-1039999585,15158569,11657
1417476539492,-17,44,-2156,0,0,-1,8423100,266499408,-1039999442,15158656,11658
1417476539493,-21,25,-2152,-1,-2,-2,8418562,266502803,-1039998667,15154661,11659
1417476539495,-17,44,-2146,-1,-1,-2,8414390,266506257,-1039997865,15151295,11660
1417476539495,-15,51,-2147,-1,-1,0,8412565,266504072,-1039998486,15148095,11661
1417476539495,-22,51,-2150,1,0,-2,8408945,266507457,-1039997603,15151166,11662
1417476539495,-19,43,-2136,-1,-1,-2,8404101,266510868,-1039996771,15150961,11663
1417476539499,-23,41,-2147,-1,-2,-1,8399841,266511496,-1039996702,15147004,11664
1417476539499,-25,44,-2148,-1,-2,-3,8392706,266517734,-1039995192,15144909,11665
1417476539513,-15,50,-2162,-1,-1,0,8388369,266515621,-1039995781,15144011,11666
1417476539513,-22,36,-2149,-1,-1,-1,8382662,266516257,-1039995672,15143455,11667
1417476539516,-14,47,-2157,-1,-1,0,8378215,266514155,-1039996275,15141502,11668
1417476539516,-18,45,-2162,-1,-1,-2,8372535,266517564,-1039995461,15140552,11669
1417476539518,-26,44,-2152,1,-1,-2,8365970,266521026,-1039994562,15145006,11670
1417476539518,-20,52,-2158,1,0,-1,8363859,266521665,-1039994378,15147581,11671
1417476539542,-21,49,-2155,0,1,-1,8364250,266522222,-1039994213,15148851,11672
1417476539542,-19,45,-2142,0,0,-1,8362091,266522826,-1039994072,15149092,11673
1417476539545,-14,42,-2153,-1,-2,0,8354261,266520746,-1039994692,15147440,11674
1417476539545,-17,38,-2165,-1,-3,-1,8346656,266521413,-1039994655,15142444,11675
1417476539548,-18,37,-2142,1,0,-2,8343674,266524823,-1039993783,15143956,11676
1417476539548,-15,49,-2149,-1,-3,-2,8336770,266528272,-1039993034,15138500,11677
1417476539565,-17,48,-2152,-1,-3,-3,8329165,266534466,-1039991568,15134348,11678
1417476539565,-18,44,-2162,-1,-1,-2,8327328,266537814,-1039990765,15131571,11679
1417476539567,-11,46,-2156,1,0,-1,8324256,266538445,-1039990595,15133872,11680
1417476539567,-17,44,-2160,-1,-1,-1,8318235,266539083,-1039990496,15132738,11681
1417476539592,-15,48,-2146,0,0,-1,8315761,266539690,-1039990367,15132245,11682
1417476539592,-14,48,-2166,1,0,0,8312202,266537541,-1039990906,15135011,11683
1417476539594,-20,46,-2153,-1,-1,-2,8306506,266540949,-1039990091,15134153,11684
1417476539594,-18,44,-2153,0,0,-1,8304350,266541556,-1039989955,15134016,11685
1417476539597,-20,33,-2152,-1,-1,-1,8299247,266542205,-1039989846,15132868,11686
1417476539597,-19,41,-2142,-1,-2,-2,8291999,266545685,-1039989057,15129733,11687
1417476539615,-17,51,-2151,0,-2,0,8283616,266543633,-1039989641,15130378,11688
1417476539615,-21,49,-2148,0,-2,-1,8274712,266544331,-1039989507,15132108,11689
1417476539617,-18,31,-2157,-1,-1,-1,8269840,266544975,-1039989387,15131672,11690
1417476539617,-7,32,-2146,0,-1,-2,8264476,266548438,-1039988542,15131697,11691
1417476539643,-16,50,-2153,-1,-2,1,8259083,266543534,-1039989924,15126069,11692
1417476539643,-13,52,-2146,-1,-1,0,8253537,266541401,-1039990521,15125606,11693
1417476539645,-19,43,-2156,-1,-2,-2,8248375,266544779,-1039989741,15122502,11694
1417476539645,-12,46,-2145,-1,-1,-2,8243485,266548202,-1039988921,15121239,11695
1417476539648,-13,36,-2153,-1,-1,-1,8237644,266548841,-1039988819,15120181,11696
1417476539648,-16,52,-2150,0,0,0,8234949,266546688,-1039989414,15118657,11697
1417476539665,-18,46,-2148,-1,-1,-1,8229399,266547321,-1039989299,15118427,11698
1417476539665,-18,42,-2164,-1,-1,-2,8227802,266550675,-1039988495,15115463,11699
1417476539667,-16,46,-2154,-1,-2,-2,8220049,266554139,-1039987700,15113314,11700
1417476539667,-12,42,-2154,-1,-1,-2,8214724,266557552,-1039986882,15112330,11701
1417476539694,-11,38,-2163,0,0,-2,8211814,266560928,-1039986052,15111452,11702
1417476539694,-24,45,-2145,0,-2,0,8202563,266558873,-1039986652,15111427,11703
1417476539696,-11,44,-2164,-1,-3,-3,8196236,266565084,-1039985173,15107099,11704
1417476539696,-11,37,-2157,-1,-1,-1,8190325,266565726,-1039985075,15105711,11705
1417476539699,-18,38,-2149,-1,-1,-1,8184646,266566380,-1039984984,15103508,11706
1417476539699,-22,53,-2156,0,-1,0,8179044,266564291,-1039985550,15104459,11707
1417476539713,-22,43,-2138,-1,-2,-1,8171432,266564970,-1039985445,15103811,11708
1417476539713,-11,38,-2154,-1,-2,-1,8164164,266565665,-1039985350,15102023,11709
1417476539716,-17,37,-2166,-1,-2,-2,8155743,266569127,-1039984570,15099220,11710
1417476539716,-11,52,-2149,-1,-3,-2,8148765,266572575,-1039983821,15093671,11711
1417476539722,-28,46,-2135,-1,-1,-1,8142658,266573203,-1039983713,15093303,11712
1417476539722,-12,35,-2142,0,0,0,8141537,266571050,-1039984271,15093517,11713
1417476539746,-15,37,-2160,-1,-1,-1,8136091,266571707,-1039984179,15091162,11714
1417476539746,-15,55,-2150,0,1,0,8136412,266569515,-1039984748,15090520,11715
1417476539749,-20,45,-2158,-1,-1,-2,8134218,266572851,-1039983939,15088551,11716
1417476539749,-20,39,-2142,-1,-1,-2,8129438,266576271,-1039983114,15087568,11717
1417476539763,-21,36,-2152,-1,-1,-3,8124916,266582469,-1039981584,15085899,11718
1417476539763,-13,45,-2149,0,-1,-2,8119840,266585926,-1039980727,15086657,11719
1417476539767,-22,47,-2151,0,-2,-1,8110725,266586630,-1039980604,15087572,11720
1417476539767,-23,34,-2163,-1,-1,-2,8106149,266590048,-1039979773,15086916,11721
1417476539794,-21,33,-2152,-1,-1,-2,8102073,266593489,-1039978955,15084688,11722
1417476539794,-20,46,-2157,-1,-1,-1,8097770,266594159,-1039978851,15082339,11723
1417476539798,-19,46,-2165,0,0,-2,8095749,266597537,-1039978003,15082193,11724
1417476539798,-16,44,-2155,-1,-2,-3,8091575,266603702,-1039976509,15078486,11725
1417476539815,-13,32,-2146,-1,-1,-2,8086372,266607119,-1039975691,15077276,11726
1417476539815,-23,50,-2145,0,-2,0,8077639,266605075,-1039976292,15076666,11727
1417476539818,-25,57,-2145,-1,-2,-2,8070349,266608530,-1039975476,15075717,11728
1417476539818,-18,55,-2145,0,0,-1,8068586,266609125,-1039975317,15077112,11729
1417476539820,-13,45,-2153,-1,-1,-1,8063274,266609756,-1039975193,15077341,11730
