Receiver time, Accel X,Y,Z, Gyro X,Y,Z, Quaternion W,X,Y,Z, dt(or)index
1418778484639,387,2,1875,0,0,0,814139374,72624815,86763695,-690866328,11854
1418778484639,381,3,1884,-1,-1,0,814139471,72624259,86765141,-690866090,11855
1418778484660,377,3,1879,-2,-4,1,814142363,72615535,86761078,-690864109,11856
1418778484660,375,1,1877,-1,-1,0,814142557,72614043,86761607,-690863971,11857
1418778484662,393,9,1859,0,0,0,814142552,72614457,86764000,-690863633,11858
1418778484662,390,-1,1865,0,0,1,814144145,72616381,86764840,-690861448,11859
1418778484684,386,4,1875,-1,-3,1,814146520,72613063,86761992,-690859356,11860
1418778484684,375,-2,1881,-1,-4,1,814149143,72606957,86756809,-690857557,11861
1418778484686,383,7,1870,0,-2,-1,814147638,72606175,86748895,-690860407,11862
1418778484686,370,1,1886,-1,-1,0,814147720,72604928,86750478,-690860242,11863
1418778484689,368,1,1879,0,0,1,814149622,72605037,86752045,-690857793,11864
1418778484689,389,1,1861,0,1,-1,814147618,72606484,86756121,-690859491,11865
1418778484692,388,4,1877,-1,-2,0,814147906,72604579,86755785,-690859394,11866
1418778484692,392,2,1885,0,0,0,814147787,72606057,86755607,-690859401,11867
1418778484706,384,6,1876,-1,-1,1,814149734,72606294,86753117,-690857394,11868
1418778484706,388,0,1874,1,0,1,814151281,72609686,86750719,-690855515,11869
1418778484717,388,0,1884,-1,-1,0,814151383,72609420,86752124,-690855247,11870
1418778484717,375,1,1873,-2,-3,0,814152161,72603140,86750833,-690855152,11871
1418778484731,374,5,1874,-1,-1,0,814152378,72601784,86751142,-690855000,11872
1418778484731,385,3,1866,-1,0,0,814152535,72599630,86755667,-690854473,11873
1418778484734,395,-6,1866,-1,0,-1,814150747,72598425,86761393,-690855988,11874
1418778484734,384,0,1872,-1,-1,-1,814148976,72599176,86763309,-690857755,11875
1418778484740,381,3,1877,-1,-1,0,814149151,72598964,86760372,-690857940,11876
1418778484740,399,4,1874,1,0,-1,814147075,72601929,86757823,-690860395,11877
1418778484757,382,5,1864,0,1,0,814146612,72606157,86760884,-690860112,11878
1418778484758,377,6,1866,-1,-1,2,814150426,72605910,86757935,-690856014,11879
1418778484760,380,6,1872,0,-2,1,814152482,72605242,86750753,-690854563,11880
1418778484760,387,2,1861,0,-3,0,814152912,72602638,86741756,-690855459,11881
1418778484781,374,0,1866,-1,-2,0,814153247,72600813,86737314,-690855814,11882
1418778484781,370,6,1876,-2,-1,0,814153660,72597422,86739435,-690855418,11883
1418778484784,372,1,1859,0,1,-1,814151587,72598607,86744159,-690857143,11884
1418778484784,396,2,1867,0,5,-1,814148616,72608389,86753667,-690858423,11885
1418778484792,398,-8,1885,-1,-1,-1,814146769,72608445,86756298,-690860263,11886
1418778484792,369,7,1892,-1,-6,-1,814146181,72600099,86747115,-690862986,11887
1418778484839,372,-1,1875,-1,-2,-1,814144874,72595655,86740993,-690865762,11888
1418778484839,373,-2,1867,0,1,-1,814142877,72598002,86741353,-690867823,11889
1418778484842,396,0,1879,0,1,-2,814138984,72600092,86746085,-690871597,11890
1418778484842,383,2,1888,0,2,2,814142043,72606682,86750237,-690866778,11891
1418778484857,380,3,1874,1,-1,2,814145536,72610734,86742990,-690863146,11892
1418778484857,391,7,1869,-1,-5,0,814146613,72602201,86735229,-690863748,11893
1418778484859,385,0,1866,-1,-4,0,814147308,72596077,86731070,-690864095,11894
1418778484859,366,-5,1861,-1,-4,1,814149954,72590426,86725668,-690862248,11895
1418778484862,371,13,1863,-1,-4,1,814152816,72583848,86718221,-690860502,11896
1418778484862,379,3,1865,0,3,-1,814150221,72588683,86724191,-690862302,11897
1418778484864,382,1,1866,-1,3,0,814149634,72592783,86735710,-690861117,11898
1418778484864,384,10,1882,0,3,1,814150684,72599685,86745287,-690857952,11899
1418778484866,377,-1,1886,-1,2,0,814150256,72601389,86755310,-690857019,11900
1418778484866,408,0,1868,0,0,0,814150267,72602003,86757552,-690856660,11901
1418778484881,384,-6,1900,0,0,0,814149970,72605569,86759071,-690856445,11902
1418778484882,377,5,1903,1,0,1,814151670,72609692,86755237,-690854490,11903
1418778484883,383,0,1889,-1,-2,-1,814150325,72605872,86749468,-690857200,11904
1418778484883,397,3,1869,-1,-1,-1,814148667,72604737,86750310,-690859167,11905
1418778484891,380,0,1865,-1,-3,1,814150986,72601856,86744342,-690857487,11906
1418778484892,365,2,1863,0,-4,0,814151683,72598095,86732840,-690858505,11907
1418778484906,374,-2,1852,-1,-3,0,814152466,72592682,86724170,-690859239,11908
1418778484906,385,-6,1854,0,2,-2,814148301,72596941,86731467,-690862784,11909
1418778484909,380,2,1865,0,3,0,814147516,72604702,86741194,-690861672,11910
1418778484909,390,9,1871,0,2,1,814148806,72609526,86748516,-690858726,11911
1418778484932,386,12,1870,0,0,0,814148612,72610787,86749043,-690858756,11912
1418778484932,381,6,1866,-2,-1,0,814148816,72607134,86753141,-690858385,11913
1418778484934,369,2,1890,-1,-3,0,814149380,72602211,86750202,-690858607,11914
1418778484934,376,3,1880,-1,-1,0,814149682,72600011,86749703,-690858545,11915
1418778484940,388,-4,1867,0,0,1,814151533,72600829,86748091,-690856479,11916
1418778484940,380,-4,1883,-2,-1,0,814151847,72598891,86751156,-690855928,11917
1418778484957,371,3,1880,-1,-1,1,814153919,72598462,86751134,-690853534,11918
1418778484958,374,5,1872,-1,-1,0,814154172,72596492,86751096,-690853448,11919
1418778484960,400,-6,1861,-1,-1,-2,814150683,72594239,86752039,-690857678,11920
1418778484960,388,9,1873,-1,-3,0,814151155,72592016,86749989,-690857613,11921
1418778485011,361,-5,1859,-1,-4,3,814157429,72586430,86741039,-690851930,11922
1418778485011,363,-2,1858,-2,-4,1,814160529,72577329,86735006,-690849990,11923
1418778485014,391,3,1865,0,1,0,814160394,72579259,86738613,-690849494,11924
1418778485014,392,3,1857,0,3,-1,814157696,72586564,86745575,-690851032,11925
1418778485016,378,10,1876,0,2,0,814157004,72592137,86754430,-690850149,11926
1418778485016,379,5,1876,0,1,0,814156697,72594132,86756001,-690850104,11927
1418778485039,379,-3,1881,-1,-2,0,814157116,72591155,86750759,-690850581,11928
1418778485039,386,2,1877,0,0,0,814157114,72592200,86753127,-690850177,11929
1418778485042,388,5,1890,1,0,1,814158678,72596114,86750574,-690848243,11930
1418778485042,386,1,1869,-1,-1,0,814158808,72595447,86748053,-690848476,11931
1418778485058,379,1,1872,-1,-2,1,814161019,72593739,86743084,-690846674,11932
1418778485058,379,4,1880,-1,-3,1,814163497,72589266,86739255,-690844704,11933
1418778485060,387,4,1881,-1,-2,-1,814162093,72586088,86734056,-690847346,11934
1418778485060,394,6,1867,0,0,0,814161991,72587429,86733717,-690847368,11935
1418778485062,385,2,1867,-1,-2,-1,814160397,72585449,86730316,-690849881,11936
